FirstName,LastName,Username,Password,OU
Eli,Vanto,evanto,P@ssw0rd!,Navy
Darth,Vader,dvader,P@ssw0rd!,Sith
Sheev,Palpatine,spalpatine,P@ssw0rd!,Emperor
Mara,Jade,mjade,P@ssw0rd!,Assassins
Natasi,Daala,ndaala,P@ssw0rd!,Navy
Wilhuff,Tarkin,wtarkin,P@ssw0rd!,Military
Rae,Sloane,rsloane,P@ssw0rd!,Navy
Thrawn,,thrawn,P@ssw0rd!,ChissAscendancy
Firmus,Piett,fpiett,P@ssw0rd!,Fleet
Maximilian,Veers,mveers,P@ssw0rd!,Army
Orson,Krennic,okrennic,P@ssw0rd!,Science
Armitage,Hux,ahux,P@ssw0rd!,Command
Brendol,Hux,bhux,P@ssw0rd!,Command
Gideon,Hask,ghask,P@ssw0rd!,Security
Iden,Versio,iversio,P@ssw0rd!,Security
Ysanne,Isard,yisard,P@ssw0rd!,Intel
Wullf,Yularen,wyularen,P@ssw0rd!,Intel
